Author,"Stevenson, Robert Louis, 1850-1894"
Uniform Title,David Balfour
Title,Catriona
Note,"Project Gutenberg has several editions of this eBook:#30870  (A Table of Contents; No illustrations)#589    (No illustrations)#14133  (An illustrated HTML file with a table of contents)"
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Scotland -- History -- 18th century -- Fiction, Adventure stories"
Category,Text
EBook-No.,589
Release Date,"Jul 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,169 downloads in the last 30 days.
Price,$0.00
