Author,"Burroughs, Edgar Rice, 1875-1950"
Title,Jungle Tales of Tarzan
Language,English
LoC Class,"PZ: Language and Literatures: Juvenile belles lettres, PS: Language and Literatures: American and Canadian literature"
Subject,"Tarzan (Fictitious character) -- Fiction, Africa -- Fiction, Fantasy fiction, Jungles -- Fiction, Adventure stories, Apes -- Fiction"
Category,Sound
EBook-No.,8758
Release Date,"Aug 1, 2005"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,26 downloads in the last 30 days.
Price,$0.00
