Author,"Melville, Herman, 1819-1891"
Title,"Moby-Dick; or, The Whale"
Note,"Project Gutenberg eBook #15 is believed to have the highest quality of the three editions of this eBook in the Project Gutenberg collection. #2701 and #2489 are the others. In addition, there is a computer-generated audio eBook, #9147, and a human audio performance, #28794."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Whaling -- Fiction, Sea stories, Psychological fiction, Ship captains -- Fiction, Adventure stories, Mentally ill -- Fiction, Ahab, Captain (Fictitious character) -- Fiction, Whales -- Fiction, Whaling ships -- Fiction"
Category,Text
EBook-No.,15
Release Date,"May 1, 1991"
Copyright Status,Public domain in the USA.
Downloads,947 downloads in the last 30 days.
Price,$0.00
