Author,"Haggard, H. Rider (Henry Rider), 1856-1925"
Title,She and Allan
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Africa -- Fiction, Fantasy fiction, Adventure stories, Hunting guides -- Fiction, Quatermain, Allan (Fictitious character) -- Fiction, Ayesha (Fictitious character : Haggard) -- Fiction, Immortalism -- Fiction"
Category,Text
EBook-No.,5745
Release Date,"Apr 22, 2006"
Copyright Status,Public domain in the USA.
Downloads,152 downloads in the last 30 days.
Price,$0.00
