Author,"Burroughs, Edgar Rice, 1875-1950"
Title,Tarzan of the Apes
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Tarzan (Fictitious character) -- Fiction, Africa -- Fiction, Fantasy fiction, Adventure stories, British -- Africa -- Fiction, Wild men -- Fiction"
Category,Sound
EBook-No.,6532
Release Date,"Sep 1, 2004"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,107 downloads in the last 30 days.
Price,$0.00
