Author,"Stevenson, Robert Louis, 1850-1894"
Title,The Black Arrow: A Tale of Two Roses
Note,"There is an improved edition of this title, eBook #32954"
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Historical fiction, Knights and knighthood -- Fiction, War stories, Bildungsromans, Young men -- Fiction, Guardian and ward -- Fiction, Great Britain -- History -- Wars of the Roses, 1455-1485 -- Fiction, Outlaws -- Fiction"
Category,Text
EBook-No.,848
Release Date,"Mar 1, 1997"
Copyright Status,Public domain in the USA.
Downloads,203 downloads in the last 30 days.
Price,$0.00
