Author,"London, Jack, 1876-1916"
Title,The Call of the Wild
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Dogs -- Fiction, Adventure stories, Nature stories, Klondike River Valley (Yukon) -- Fiction, Sled dogs -- Fiction, Pet theft -- Fiction, Feral dogs -- Fiction, Animal welfare -- Fiction"
Category,Sound
EBook-No.,19678
Release Date,"Nov 7, 2006"
Copyright Status,Public domain in the USA.
Downloads,136 downloads in the last 30 days.
Price,$0.00
