Author,"Dumas, Alexandre, 1802-1870"
Title,"The Count of Monte Cristo, Illustrated"
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Historical fiction, Revenge -- Fiction, Adventure stories, Prisoners -- Fiction, France -- History -- 19th century -- Fiction, Pirates -- Fiction, Dantès, Edmond (Fictitious character) -- Fiction"
Category,Text
EBook-No.,1184
Release Date,"Jan 1, 1998"
Copyright Status,Public domain in the USA.
Downloads,9165 downloads in the last 30 days.
Price,$0.00
