Author,"Morrison, Arthur, 1863-1945"
Illustrator,"Wood, Stanley L., 1866-1928"
Title,The Dorrington Deed-Box
Contents,"The narrative of Mr. James Rigby -- The case of Janissary -- The case of the ""Mirror of Portugal"" -- The affair of the ""Avalanche Bicycle and Tyre Co., Limited"" -- The case of Mr. Loftus Deacon -- Old Cater's money."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Detective and mystery stories, English, Private investigators -- Fiction"
Category,Text
EBook-No.,53341
Release Date,"Oct 22, 2016"
Copyright Status,Public domain in the USA.
Downloads,75 downloads in the last 30 days.
Price,$0.00
