Author,"Dumas, Alexandre, 1802-1870"
Title,The Man in the Iron Mask
Note,Translation of: L'homme au masque de fer
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Historical fiction, France -- History -- Louis XIV, 1643-1715 -- Fiction, Adventure and adventurers -- Fiction, Swordsmen -- Fiction, Romances, Man in the Iron Mask -- Fiction"
Category,Text
EBook-No.,2759
Release Date,"Aug 1, 2001"
Copyright Status,Public domain in the USA.
Downloads,666 downloads in the last 30 days.
Price,$0.00
