Author,"Dumas, Alexandre, 1802-1870"
Uniform Title,Les trois mousquetaires. English
Title,The Three Musketeers
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Historical fiction, France -- History -- Louis XIII, 1610-1643 -- Fiction, Adventure and adventurers -- Fiction, Swordsmen -- Fiction"
Category,Text
EBook-No.,1257
Release Date,"Mar 1, 1998"
Copyright Status,Public domain in the USA.
Downloads,2797 downloads in the last 30 days.
Price,$0.00
