Author,"Dumas, Alexandre, 1802-1870"
Title,The Vicomte De Bragelonne
Note,"Project Gutenberg has several editions of this eBook:#18997  (Illustrated HTML file)#2609   (Plain HTML file)#3010   (Text file)"
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Historical fiction, France -- History -- Louis XIV, 1643-1715 -- Fiction, Adventure stories"
Category,Text
EBook-No.,2609
Release Date,"Apr 1, 2001"
Copyright Status,Public domain in the USA.
Downloads,307 downloads in the last 30 days.
Price,$0.00
