Author,"Godwin, William, 1756-1836"
Title,"Caleb Williams; Or, Things as They Are"
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Didactic fiction, England -- Fiction, Bildungsromans, Young men -- Fiction, Murderers -- Fiction, False imprisonment -- Fiction, Master and servant -- Fiction, Executions and executioners -- Fiction"
Category,Text
EBook-No.,11323
Release Date,"Feb 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,416 downloads in the last 30 days.
Price,$0.00
