Author,"Shelley, Mary Wollstonecraft, 1797-1851"
Title,"Frankenstein; Or, The Modern Prometheus"
Note,"There is an improved edition of this title, eBook #42324"
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Science fiction, Horror tales, Gothic fiction, Scientists -- Fiction, Monsters -- Fiction, Frankenstein, Victor (Fictitious character) -- Fiction, Frankenstein's monster (Fictitious character) -- Fiction"
Category,Text
EBook-No.,84
Release Date,"Oct 1, 1993"
Copyright Status,Public domain in the USA.
Downloads,90830 downloads in the last 30 days.
Price,$0.00
