Author,"Hawthorne, Nathaniel, 1804-1864"
Title,"Mosses from an Old Manse, and Other Stories"
Contents,"The birthmark -- Young Goodman Brown -- Rappaccini's daughter -- Mrs. Bullfrog -- The celestial railroad -- The procession of life -- Feathertop: a moralized legend -- Egotism; or, the bosom serpent -- Drowne's wooden image -- Roger Malvin's burial -- The artist of the beautiful."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Short stories, New England -- Social life and customs -- Fiction"
Category,Text
EBook-No.,512
Release Date,"Apr 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,3171 downloads in the last 30 days.
Price,$0.00
