Author,"Austen, Jane, 1775-1817"
Title,Northanger Abbey
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"England -- Social life and customs -- 19th century -- Fiction, Satire, England -- Fiction, Young women -- Fiction, Love stories, Gothic fiction, Horror tales -- Appreciation -- Fiction, Books and reading -- Fiction, Gentry -- England -- Fiction, Marriage -- Economic aspects -- Fiction"
Category,Text
EBook-No.,121
Release Date,"Apr 1, 1994"
Copyright Status,Public domain in the USA.
Downloads,4149 downloads in the last 30 days.
Price,$0.00
