Contributor,"De Quincey, Thomas, 1785-1859, Dickens, Charles, 1812-1870, Lytton, Edward Bulwer Lytton, Baron, 1803-1873, Maturin, Charles Robert, 1780-1824, Sterne, Laurence, 1713-1768, Thackeray, William Makepeace, 1811-1863"
Editor,"Hawthorne, Julian, 1846-1934"
Title,The Lock and Key Library: Classic Mystery and Detective Stories: Old Time English
Contents,"The haunted house / C. Dickens -- No. 1 branch line: The signal man / C. Dickens -- The haunted and the haunters; or, the house and the brain / Bulwer-Lytton -- The incantation / Bulwer-Lytton -- The avenger / T. De Quincey -- Melmoth the wanderer / C.R. Maturin -- A mystery with a moral / L. Sterne -- On being found out /W.M. Thackeray -- The notch in the ax / W.M. Thackeray -- Bourgonef -- The closed cabinet."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Fiction, Detective and mystery stories, Ghost stories"
Category,Text
EBook-No.,1831
Release Date,"Jul 1, 1999"
Copyright Status,Public domain in the USA.
Downloads,228 downloads in the last 30 days.
Price,$0.00
