Author,"Leroux, Gaston, 1868-1927"
Uniform Title,Fantôme de l'Opéra. English
Title,The Phantom of the Opera
Note,Translation of Fantome de l'Opera.
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Horror tales, Musical fiction, Opera -- Fiction, Paris (France) -- Fiction, Composers -- Fiction, Phantom of the Opera (Fictitious character) -- Fiction, French fiction -- Translations into English"
Category,Text
EBook-No.,175
Release Date,"Oct 1, 1994"
Copyright Status,Public domain in the USA.
Downloads,1655 downloads in the last 30 days.
Price,$0.00
