Author,"Wilde, Oscar, 1854-1900"
Title,The Picture of Dorian Gray
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Didactic fiction, Supernatural -- Fiction, Conduct of life -- Fiction, Portraits -- Fiction, Great Britain -- History -- Victoria, 1837-1901 -- Fiction, London (England) -- History -- 1800-1950 -- Fiction, Appearance (Philosophy) -- Fiction, Paranormal fiction"
Category,Text
EBook-No.,174
Release Date,"Oct 1, 1994"
Copyright Status,Public domain in the USA.
Downloads,21606 downloads in the last 30 days.
Price,$0.00
