Author,"Polidori, John William, 1795-1821"
Title,The Vampyre; a Tale
Note,The Vampyre was published in the April 1819 issue of New Monthly Magazine and was there erroneously attributed to Lord Byron.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Horror tales, Gothic fiction, Vampires -- Fiction"
Category,Text
EBook-No.,6087
Release Date,"Jul 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,2344 downloads in the last 30 days.
Price,$0.00
