Author,"Poe, Edgar Allan, 1809-1849"
Title,The Works of Edgar Allan Poe — Volume 2
Contents,The purloined letter -- The thousand-and-second tale of Scheherezade -- A descent into the Maelström -- Von Kempelen and his discovery -- Mesmeric revelation -- The facts in the case of M. Valdemar -- The black cat -- The fall of the House of Usher -- Silence: a fable -- The masque of the Red Death -- The cask of Amontillado -- The imp of the perverse -- The island of the Fay -- The assignation -- The pit and the pendulum -- The premature burial -- The domain of Arnheim -- Landor's cottage -- William Wilson -- The tell-tale heart -- Berenice -- Eleonora.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Short stories, Fantasy fiction, Horror tales, American, American fiction -- 19th century"
Category,Text
EBook-No.,2148
Release Date,"Apr 1, 2000"
Copyright Status,Public domain in the USA.
Downloads,4814 downloads in the last 30 days.
Price,$0.00
