Author,"Brontë, Emily, 1818-1848"
Title,Wuthering Heights
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Revenge -- Fiction, Psychological fiction, Rejection (Psychology) -- Fiction, Love stories, Domestic fiction, Yorkshire (England) -- Fiction, Foundlings -- Fiction, Rural families -- Fiction, Heathcliff (Fictitious character : Brontë) -- Fiction, Triangles (Interpersonal relations) -- Fiction"
Category,Text
EBook-No.,768
Release Date,"Dec 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,9977 downloads in the last 30 days.
Price,$0.00
