Author,"James, M. R. (Montague Rhodes), 1862-1936"
Title,A Thin Ghost and Others
Contents,The residence at Whitminster -- The diary of Mr. Poynter -- An episode of cathedral history -- The story of a disappearance and an appearance -- Two doctors.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Horror tales, English, Short stories, English, Ghost stories, English"
Category,Text
EBook-No.,20387
Release Date,"Jan 16, 2007"
Copyright Status,Public domain in the USA.
Downloads,149 downloads in the last 30 days.
Price,$0.00
