Author,"Stoker, Bram, 1847-1912"
Title,Dracula's Guest
Contents,Dracula's guest -- The judge's house -- The squaw -- The secret of the growing gold -- The gipsy prophecy -- The coming of Abel Behenna -- The burial of the rats -- A dream of red hands -- Crooken sands.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Short stories, Horror tales, Gothic fiction"
Category,Text
EBook-No.,10150
Release Date,"Nov 1, 2003"
Copyright Status,Public domain in the USA.
Downloads,746 downloads in the last 30 days.
Price,$0.00
