Author,"Stoker, Bram, 1847-1912"
Title,Dracula
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Horror tales, Epistolary fiction, Gothic fiction, Vampires -- Fiction, Dracula, Count (Fictitious character) -- Fiction, Transylvania (Romania) -- Fiction, Whitby (England) -- Fiction"
Category,Sound
EBook-No.,6534
Release Date,"Sep 1, 2004"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,51 downloads in the last 30 days.
Price,$0.00
