Author,"James, M. R. (Montague Rhodes), 1862-1936"
Title,Ghost Stories of an Antiquary Part 2: More Ghost Stories
Contents,A school story -- The rose garden -- The tractate Middoth -- Casting the runes -- The stalls of Barchester Cathedral -- Martin's Close -- Mr. Humphreys and his inheritance.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Horror tales, English, Short stories, English, Ghost stories, English"
Category,Text
EBook-No.,9629
Release Date,"Jan 1, 2006"
Copyright Status,Public domain in the USA.
Downloads,197 downloads in the last 30 days.
Price,$0.00
