Author,"James, M. R. (Montague Rhodes), 1862-1936"
Title,Ghost Stories of an Antiquary
Contents,"Canon Alberic's scrap-book -- Lost hearts -- The mezzotint -- The ash-tree -- Number 13 -- Count Magnus -- 'Oh whistle, and I'll come to you, my lad' -- The treasure of Abbot Thomas."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Horror tales, English, Short stories, English, Ghost stories, English"
Category,Text
EBook-No.,8486
Release Date,"Jul 1, 2005"
Copyright Status,Public domain in the USA.
Downloads,662 downloads in the last 30 days.
Price,$0.00
