Author,"Chambers, Robert W. (Robert William), 1865-1933"
Title,The King in Yellow
Contents,The repairer of reputations -- The mask -- The yellow sign -- The Demoiselle d'Ys -- The prophets' paradise -- The Street of the Four Winds -- The street of the first shell -- The street of Our Lady of the Fields -- Rue Barrée.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Short stories, American, Horror tales, American, United States -- Social life and customs -- 19th century -- Fiction"
Category,Text
EBook-No.,8492
Release Date,"Jul 1, 2005"
Copyright Status,Public domain in the USA.
Downloads,2740 downloads in the last 30 days.
Price,$0.00
