Author,"Birkhead, Edith"
LoC No.,21013606
Title,The Tale of Terror: A Study of the Gothic Romance
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"English fiction -- History and criticism, Horror tales, English -- History and criticism, Gothic revival (Literature) -- Great Britain, Supernatural in literature"
Category,Text
EBook-No.,14154
Release Date,"Nov 26, 2004"
Copyright Status,Public domain in the USA.
Downloads,90 downloads in the last 30 days.
Price,$0.00
