Editor,"Holland, W. Bob (West Bob), 1868-1932"
Title,Twenty-Five Ghost Stories
Alternate Title,25 Ghost Stories
Contents,Preface -- The black cat -- The flayed hand -- The vengeance of a tree -- The parlor-car ghost -- Ghost of Buckstown Inn -- The burglar's ghost -- A phantom toe -- Mrs. Davenport's ghost -- The phantom woman -- The phantom hag -- From the tomb -- Sandy's ghost -- The ghosts of Red Creek -- The spectre bride -- How he caught the ghost -- Grand-dame's ghost story -- A fight with a ghost -- Colonel Halifax's ghost story -- The ghost of the count -- The old mansion -- A misfit ghost -- An unbidden guest -- The dead woman's photograph -- The ghost of a live man -- The ghost of Washington.
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Fiction, Ghost stories"
Category,Text
EBook-No.,53419
Release Date,"Oct 31, 2016"
Copyright Status,Public domain in the USA.
Downloads,287 downloads in the last 30 days.
Price,$0.00
