Author,"Prest, Thomas Peckett, 1810-1859, Rymer, James Malcolm, 1814?-1884"
Title,"Varney the Vampire; Or, the Feast of Blood"
Note,"Variously attributed to Thomas Peckett Prest, or James Malcolm Rymer. Cf. Boase, F. Modern English biography."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Horror tales, Gothic fiction, Vampires -- Fiction"
Category,Text
EBook-No.,14833
Release Date,"Jan 29, 2005"
Copyright Status,Public domain in the USA.
Downloads,644 downloads in the last 30 days.
Price,$0.00
