Author,"Cobb, Irvin S. (Irvin Shrewsbury), 1876-1944, Rinehart, Mary Roberts, 1876-1958"
Title,"'Oh, Well, You Know How Women Are!'"
Contents,"'Oh, Well, You Know How Women Are!' / Cobb -- 'Isn'tThat Just Like a Man!' / Rinehart"
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Sex differences -- Humor, Women -- Humor, Men -- Humor"
Category,Text
EBook-No.,24259
Release Date,"Jan 12, 2008"
Copyright Status,Public domain in the USA.
Downloads,68 downloads in the last 30 days.
Price,$0.00
