Author,"Anstey, F., 1856-1934"
Illustrator,"Partridge, Bernard, 1861-1945"
Title,"A Bayard From BengalBeing some account of the Magnificent and Spanking Career of Chunder Bindabun Bhosh,..."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Humorous stories, East Indians -- England -- Fiction"
Category,Text
EBook-No.,36703
Release Date,"Jul 11, 2011"
Copyright Status,Public domain in the USA.
Downloads,38 downloads in the last 30 days.
Price,$0.00
