Author,"Nye, Bill, 1850-1896"
Title,"A Guest at the Ludlow, and Other Stories"
Contents,"A guest at the Ludlow -- Old Polka Dot's daughter -- A great cerebrator -- Hints for the household -- A journey westward -- A prophet and a Piute -- The Sabbath of a great author -- A flyer in dirt -- A singular ""Hamlet"" -- My matrmonial bureau -- The hateful hen -- As a candidate -- Summer boarders and others -- Three open letters -- The dubious future -- Earning a reward -- A plea for justice -- Grains of truth -- A scamper through the park -- Hints to the traveler -- A medieval discoverer -- How to pick out a birthplace -- On Broadway -- My trip to Dixie -- The thought clothier -- A rubber esophagus -- Advice to a son -- The automatic bell boy."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Humorous stories, American, United States -- Social life and customs -- 19th century -- Fiction"
Category,Text
EBook-No.,31884
Release Date,"Apr 4, 2010"
Copyright Status,Public domain in the USA.
Downloads,36 downloads in the last 30 days.
Price,$0.00
