Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,A Man of Means
Contents,The episode of the landlady's daughter -- The episode of the financial Napoleon -- The episode of the theatrical venture -- The episode of the live weekly -- The diverting episode of the exiled monarch -- The episode of the hired past.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,Humorous stories
Category,Text
EBook-No.,8713
Release Date,"Aug 1, 2005"
Copyright Status,Public domain in the USA.
Downloads,142 downloads in the last 30 days.
Price,$0.00
