Author,"Leacock, Stephen, 1869-1944"
Title,Arcadian Adventures with the Idle Rich
Contents,A little dinner with Mr. Lucullus Fyshe -- The wizard of finance -- The arrested philanthropy of Mr. Tomlinson -- The Yahi-Bahi Oriental Society of Mrs. Rasselyer-Brown -- The love story of Mr. Peter Spillikins -- The rival churches of St. Asaph and St. Osoph -- The ministrations of the Rev. Uttermust Dumfarthing -- The great fight for clean government.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Satire, Humorous stories, Rich people -- Fiction, Capitalists and financiers -- Fiction"
Category,Text
EBook-No.,4020
Release Date,"May 1, 2003"
Copyright Status,Public domain in the USA.
Downloads,47 downloads in the last 30 days.
Price,$0.00
