Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,"Death at the Excelsior, and Other Stories"
Contents,Death at the Excelsior -- Misunderstood -- The best sauce -- Jeeves and the chump Cyril -- Jeeves in the springtime -- Concealed art -- The test case.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Humorous stories, English, Wooster, Bertie (Fictitious character) -- Fiction, Jeeves (Fictitious character) -- Fiction, Valets -- Fiction"
Category,Text
EBook-No.,8176
Release Date,"May 1, 2005"
Copyright Status,Public domain in the USA.
Downloads,155 downloads in the last 30 days.
Price,$0.00
