Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,Indiscretions of Archie
Contents,"Distressing scene -- A shock for Mr. Brewster -- Mr. Brewster delivers sentence -- Work wanted -- Strange experiences of an artist's model -- The bomb -- Mr. Roscoe Sherriff has an idea -- A disturbed night for dear old Squiffy -- A letter from Parker -- Doing Father a bit of good -- Salvatore chooses the wrong moment -- Bright eyes, and a fly -- Rallying round Percy -- The sad case of Looney Biddle -- Summer storms -- Archie accepts a situation -- Brother Bill's romance -- The Sausage Chappie -- Reggie comes to life -- The Sausage Chappie Clicks -- The growing boy -- Washy steps into the hall of fame -- Mother's knee -- The melting of Mr. Connolly -- The Wigmore Venus -- A tale of a grandfather."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"New York (N.Y.) -- Fiction, Humorous stories, British -- United States -- Fiction, World War, 1914-1918 -- Veterans -- Fiction, Hotels -- Fiction, Married men -- Fiction, Fathers-in-law -- Fiction"
Category,Text
EBook-No.,3756
Release Date,"Jun 25, 2008"
Copyright Status,Public domain in the USA.
Downloads,128 downloads in the last 30 days.
Price,$0.00
