Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Illustrator,"Both, Armand, 1881-1922"
Title,Love Among the ChickensA Story of the Haps and Mishaps on an English Chicken Farm
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Humorous stories, England -- Fiction, Farm life -- Fiction, Chicken breeders -- Fiction, Ukridge, Stanley Featherstonehaugh (Fictitious character) -- Fiction"
Category,Text
EBook-No.,20532
Release Date,"Feb 6, 2007"
Copyright Status,Public domain in the USA.
Downloads,164 downloads in the last 30 days.
Price,$0.00
