Author,"Furniss, Harry, 1854-1925"
LoC No.,40000438
Title,M. P.'s in Session: From Mr. Punch's Parliamentary Portrait Gallery
Alternate Title,M.P.'s in Session
Language,English
LoC Class,"NC: Fine Arts: Drawing, Design, Illustration"
Subject,"Caricatures and cartoons -- Great Britain, Great Britain -- Politics and government -- 1837-1901, Great Britain. Parliament -- Biography -- Portraits"
Category,Text
EBook-No.,29560
Release Date,"Aug 1, 2009"
Copyright Status,Public domain in the USA.
Downloads,17 downloads in the last 30 days.
Price,$0.00
