Editor,"Hammerton, J. A. (John Alexander), 1871-1949"
Illustrator,"Tenniel, John, 1820-1914"
Title,Mr. Punch Afloat: The Humours of Boating and Sailing
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"English wit and humor, English wit and humor, Pictorial, Boats and boating -- Humor"
Category,Text
EBook-No.,40320
Release Date,"Jul 24, 2012"
Copyright Status,Public domain in the USA.
Downloads,33 downloads in the last 30 days.
Price,$0.00
