Editor,"Hammerton, J. A. (John Alexander), 1871-1949"
Illustrator,"Keene, Charles, 1823-1891"
Title,Mr. Punch at the Play: Humours of Music and the Drama
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"English wit and humor, English wit and humor, Pictorial, Theater -- Great Britain -- Humor"
Category,Text
EBook-No.,36529
Release Date,"Jun 27, 2011"
Copyright Status,Public domain in the USA.
Downloads,32 downloads in the last 30 days.
Price,$0.00
