Editor,"Hammerton, J. A. (John Alexander), 1871-1949"
Title,"Mr. Punch on the Warpath: Humours of the Army, the Navy and the Reserve Forces"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"English wit and humor, English wit and humor, Pictorial, Great Britain -- Armed Forces -- Humor"
Category,Text
EBook-No.,38146
Release Date,"Nov 26, 2011"
Copyright Status,Public domain in the USA.
Downloads,43 downloads in the last 30 days.
Price,$0.00
