Editor,"Hammerton, J. A. (John Alexander), 1871-1949"
Illustrator,"Leech, John, 1817-1864"
Title,Mr. Punch's Book of Love: Being the Humours of Courtship and Matrimony
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"English wit and humor, English wit and humor, Pictorial, Marriage -- Humor, Man-woman relationships -- Humor, Love -- Humor"
Category,Text
EBook-No.,42400
Release Date,"Mar 24, 2013"
Copyright Status,Public domain in the USA.
Downloads,31 downloads in the last 30 days.
Price,$0.00
