Editor,"Hammerton, J. A. (John Alexander), 1871-1949"
Illustrator,"Sambourne, Linley, 1844-1910"
Title,"Mr. Punch's Book of SportThe Humour of Cricket, Football, Tennis, Polo, Croquet, Hockey, Racing, &c"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"English wit and humor, English wit and humor -- Periodicals, Sports -- Anecdotes, Sports -- Humor"
Category,Text
EBook-No.,43355
Release Date,"Jul 30, 2013"
Copyright Status,Public domain in the USA.
Downloads,31 downloads in the last 30 days.
Price,$0.00
