Editor,"Hammerton, J. A. (John Alexander), 1871-1949"
Title,Mr. Punch's Country Life: Humours of Our Rustics
Series Title,The Punch Library of Humour
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"English wit and humor, English wit and humor, Pictorial, Country life -- England -- Humor"
Category,Text
EBook-No.,34676
Release Date,"Dec 16, 2010"
Copyright Status,Public domain in the USA.
Downloads,33 downloads in the last 30 days.
Price,$0.00
