Editor,"Hammerton, J. A. (John Alexander), 1871-1949"
Illustrator,"Cleaver, Reginald, 1870-1954, Du Maurier, George, 1834-1896, Keene, Charles, 1823-1891, Leech, John, 1817-1864, May, Phil, 1864-1903, Partridge, Bernard, 1861-1945, Raven-Hill, L. (Leonard), 1867-1942, Reed, Edward Tennyson, 1860-1933, Tenniel, John, 1820-1914"
Title,Mr. Punch's Railway Book
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"English wit and humor, English wit and humor, Pictorial, Railroads -- Great Britain -- Humor"
Category,Text
EBook-No.,35027
Release Date,"Jan 21, 2011"
Copyright Status,Public domain in the USA.
Downloads,60 downloads in the last 30 days.
Price,$0.00
