Author,"Jenkins, Herbert George, 1876-1923"
Title,Mrs. Bindle: Some Incidents from the Domestic Life of the Bindles
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Humorous stories, Married people -- England -- Fiction, Working class -- England -- Fiction, Bindle, Joseph (Fictitious character) -- Fiction"
Category,Text
EBook-No.,37324
Release Date,"Sep 6, 2011"
Copyright Status,Public domain in the USA.
Downloads,21 downloads in the last 30 days.
Price,$0.00
