Author,"Lear, Edward, 1812-1888"
Title,Nonsense DrolleriesThe Owl & The Pussy-Cat—The Duck & The Kangaroo.
Language,English
LoC Class,"PR: Language and Literatures: English literature, PZ: Language and Literatures: Juvenile belles lettres"
Subject,"Children's literature, English wit and humor, Nonsense verses, English, Humorous poetry, English"
Category,Text
EBook-No.,20113
Release Date,"Dec 15, 2006"
Copyright Status,Public domain in the USA.
Downloads,89 downloads in the last 30 days.
Price,$0.00
