Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,"Right Ho, Jeeves"
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Humorous stories, England -- Fiction, Wooster, Bertie (Fictitious character) -- Fiction, Jeeves (Fictitious character) -- Fiction, Single men -- Fiction, Valets -- Fiction"
Category,Text
EBook-No.,10554
Release Date,"Jan 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,901 downloads in the last 30 days.
Price,$0.00
