Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,Tales of St. Austin's
Contents,"How Pillingshot Scored -- The Odd Trick -- L'Affaire Uncle John (A Story in Letters) -- Harrison's Slight Error -- Bradshaw's Little Story -- A Shocking Affair -- The Babe and the Dragon -- The Manoeuvres of Charteris -- How Payne Bucked Up -- Author! -- 'The Tabby Terror' -- The Prize Poem -- Work -- Notes -- Now, Talking About Cricket-- -- The Tom Brown Question."
Language,English
LoC Class,"PR: Language and Literatures: English literature, PZ: Language and Literatures: Juvenile belles lettres"
Subject,"Schools -- Fiction, Humorous stories"
Category,Text
EBook-No.,6980
Release Date,"Nov 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,109 downloads in the last 30 days.
Price,$0.00
