Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,The Clicking of Cuthbert
Contents,Fore! -- The Clicking of Cuthbert -- A Woman is Only a Woman -- A Mixed Threesome -- Sundered Hearts -- The Salvation of George Mackintosh -- Ordeal by Golf -- The Long Hole -- The Heel of Achilles -- The Rough Stuff -- The Coming of Gowf.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Humorous stories, Golf stories"
Category,Text
EBook-No.,7028
Release Date,"Dec 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,259 downloads in the last 30 days.
Price,$0.00
