Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,The Gold Bat
Language,English
LoC Class,"PR: Language and Literatures: English literature, PZ: Language and Literatures: Juvenile belles lettres"
Subject,"Humorous stories, English, Boys -- Conduct of life -- Juvenile fiction, Schools -- Juvenile fiction, Sports -- Juvenile fiction"
Category,Text
EBook-No.,6879
Release Date,"Nov 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,87 downloads in the last 30 days.
Price,$0.00
