Author,"Hay, Ian, 1876-1952"
Illustrator,"Baumer, Lewis Christopher Edward, 1870-1963"
Title,The Lighter Side of School Life
Contents,"The headmaster -- The housemaster -- Some form-masters -- Boys -- The pursuit of knowledge -- School stories -- ""My people"" -- The father of the man."
Language,English
LoC Class,LA: Education: History of education
Subject,Schools -- England
Category,Text
EBook-No.,34721
Release Date,"Dec 22, 2010"
Copyright Status,Public domain in the USA.
Downloads,40 downloads in the last 30 days.
Price,$0.00
