Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,The Little Warrior
Note,"Titled in UK: Jill, The Reckless"
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Humorous stories, Love stories, Poor women -- Fiction, Musicals -- Fiction, Broadway (New York, N.Y.) -- Fiction, Long Island (N.Y.) -- Fiction"
Category,Text
EBook-No.,6837
Release Date,"Nov 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,154 downloads in the last 30 days.
Price,$0.00
