Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,The Man Upstairs and Other Stories
Contents,"The Man Upstairs -- Something To Worry About -- Deep Waters -- When Doctors Disagree -- By Advice Of Counsel -- Rough-Hew Them How We Will -- The Man Who Disliked Cats -- Ruth In Exile -- Archibald's Benefit -- The Man, The Maid, And The Miasma -- The Good Angel -- Pots O' Money -- Out Of School -- Three From Dunsterville -- The Tuppenny Millionaire -- Ahead Of Schedule -- Sir Agravaine -- The Goal-Keeper And The Plutocrat -- In Alcala."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Humorous stories, English"
Category,Text
EBook-No.,6768
Release Date,"Oct 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,451 downloads in the last 30 days.
Price,$0.00
