Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,"The Man with Two Left Feet, and Other Stories"
Contents,Bill the Bloodhound -- Extricating Young Gussie -- Wilton's Holiday -- The Mixer (I) -- The Mixer (II) -- Crowned Heads -- At Geisenheimer's -- The Making of Mac's -- One Touch of Nature -- Black for Luck -- The Romance of an Ugly Policeman -- A Sea of Troubles -- The Man with Two Left Feet.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Short stories, Humorous stories, English"
Category,Text
EBook-No.,7471
Release Date,"Feb 1, 2005"
Copyright Status,Public domain in the USA.
Downloads,400 downloads in the last 30 days.
Price,$0.00
