Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,"The Politeness of Princes, and Other School Stories"
Contents,"The politeness of princes -- Shields' and the cricket cup -- An international affair -- The guardian -- A corner in lines -- The autograph hunters -- Pillingshot, detective."
Language,English
LoC Class,"PR: Language and Literatures: English literature, PZ: Language and Literatures: Juvenile belles lettres"
Subject,Schools -- Fiction
Category,Text
EBook-No.,8178
Release Date,"May 1, 2005"
Copyright Status,Public domain in the USA.
Downloads,158 downloads in the last 30 days.
Price,$0.00
