Editor,"Wilder, Marshall Pinckney, 1859-1915"
Title,"The Wit and Humor of America, Volume III. (of X.)"
Contents,"An Arkansas Planter, by Read -- The Auto Rubaiyat, by Kauffman -- A Ballade of the ""How To"" Books, by Davies -- The Bohemians of Boston, by Burgess -- The Courtin', by Lowell -- The Crimson Cord, by Butler -- The Diamond Wedding, by Stedman -- Dislikes, by Holmes -- A Dos't o' Blues, by Riley -- The Dying Gag, by Ford -- Elizabeth Eliza Writes a Paper, by Hale -- Garden Ethics, by Warner -- The Genial Idiot Suggests a Comic Opera, by Bangs -- Hans Breitmann's Party, by Leland -- The Hired Hand and ""Ha'nts,"" by Laughlin -- In Elizabeth's Day, by Rice -- In Philistia, by Carman -- A Letter from Home, by Irwin -- The Little Mock-Man, by Riley -- Little Orphant Annie, by Riley -- Mammy's Lullaby, by Gillilan -- Maxioms, by Wells -- Morris and the Honorable Tim, by Kelly -- Mr. Stiver's Horse, by Bailey -- My First Visit to Portland, by Downing -- My Sweetheart, by Peck -- The New Version, by Lampton -- Our New Neighbors at Ponkapog, by Aldrich -- The Plaint of Jonah, by Burdette -- The Retort, by Morris -- The Rhyme of the Chivalrous Shark, by Irwin -- Rollo Learning to Read, by Burdette -- Selecting the Faculty, by Hall -- Southern Sketches, by Arp -- The Tower of London, by Ward -- A Traveled Donkey, by Taylor -- The Tree-Toad, by Riley -- The Two Automobilists, by Wells -- The Two Business Men, by Wells -- The Two Housewives, by Wells -- The Two Ladies, by Wells -- The Two Young Men, by Wells -- Uncle Simon and Uncle Jim, by Ward -- Wamsley's Automatic Pastor, by Crane -- Wild Animals I Have Met, by Wells."
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"American wit and humor, American literature -- Humor"
Category,Text
EBook-No.,18734
Release Date,"Jul 1, 2006"
Copyright Status,Public domain in the USA.
Downloads,84 downloads in the last 30 days.
Price,$0.00
