Editor,"Wilder, Marshall Pinckney, 1859-1915"
Title,"The Wit and Humor of America, Volume IV. (of X.)"
Contents,"An April Aria, by Munkittrick -- ""As Good as a Play"", by Scudder -- The Autocrat of the Breakfast Table, by Holmes -- The Briefless Barrister, by Saxe -- A Cable-Car Preacher, by Foss -- Cæsar's Quiet Lunch with Cicero, by Fields -- Cheer for the Consumer, by Waterman -- Comin' Home Thanksgivin', by Naylor -- A Complaint of Friends, by Hamilton -- The Coupon Bonds, by Trowbridge -- Crankidoxology, by Irwin -- Desolation, by Masson -- A Desperate Race, by Kelley -- De Stove Pipe Hole, by Drummond -- The Economical Pair, by Wells -- The Family Horse, by Cozzens -- Girl from Mercury, by Vielé -- The Grand Opera, by Baxter -- The Greco-Trojan Game, by Johnson -- How to Know the Wild Animals, by Wells -- How We Bought a Sewin' Machine and Organ, by Allen -- I Remember, I Remember, by Cary -- In a State of Sin, by Wister -- The Loafer and the Squire, by Crayon -- The Love Sonnets of a Husband, by Smiley -- Meditations of a Mariner, by Irwin -- A Modern Advantage, by Becker -- A Modern Eclogue, by Carman -- My Honey, My Love, by Harris -- Ponchus Pilut, by Riley -- Praise-God Barebones, by Cortissoz -- The Raggedy Man, by Riley -- The Shooting-Match, by Longstreet -- Sonnet of the Lovable Lass and the Plethoric Dad, by Foley -- Story of the Two Friars, by Field -- The Two Husbands, by Wells -- The Two Pedestrians, by Wells -- The Two Prisoners, by Wells -- Victory, by Masson -- The Wolf at Susan's Door, by Warner."
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"American wit and humor, American literature -- Humor"
Category,Text
EBook-No.,18776
Release Date,"Jul 7, 2006"
Copyright Status,Public domain in the USA.
Downloads,63 downloads in the last 30 days.
Price,$0.00
