Editor,"Wilder, Marshall Pinckney, 1859-1915"
Title,"The Wit and Humor of America, Volume IX (of X)"
Contents,"A Ballade of Ping-Pong, by Noble -- The Boat that Ain't, by Irwin -- Budge and Toddie, by Habberton -- A Cavalier's Valentine, by Scollard -- Conscientious Curate and the Beauteous Ballet Girl, by Rose -- The Country School, by Anonymous -- Evan Anderson's Poker Party, by Stevenson -- The Experiences of Gentle Jane, by Wells -- A Few Reflections, by Arp -- A Great Celebrator, by Nye -- The Gusher, by Loomis -- He Wanted to Know, by Foss -- The Hoss, by Riley -- How I Spoke the Word, by Stanton -- How Jimaboy Found Himself, by Lynde -- How the Money Goes, by Saxe -- ""Hullo!"", by Foss -- The Lugubrious Whing-Whang, by Riley -- The Millionaires, by Adeler -- The Mystery of Gilgal, by Hay -- Natural Philosophy, by Drummond -- The Nine Little Goblins, by Riley -- The Old-Fashioned Choir, by Taylor -- Our Polite Parents, by Wells -- Our Very Wishes, by Spofford -- A Reflective Retrospect, by Saxe -- A Rule of Three, byRice -- The Runaway Toys, by Stanton -- Soldier, Rest!, by Burdette -- The Tale of the Tangled Telegram, by Nesbit -- A Threnody, by Lanigan -- Tim Flannigan's Mistake, by Amsbary -- The University Intelligence Office, by Bangs -- The Warrior, by Field -- When Doctors Disagree, by Kiser -- When the Little Boy Ran Away, by Stanton -- The Widow Bedott's Visitor, by Whicher."
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"American wit and humor, American literature -- Humor"
Category,Text
EBook-No.,24433
Release Date,"Jan 26, 2008"
Copyright Status,Public domain in the USA.
Downloads,49 downloads in the last 30 days.
Price,$0.00
