Editor,"Wilder, Marshall Pinckney, 1859-1915"
Title,"The Wit and Humor of America, Volume V. (of X.)"
Contents,"Abou Ben Butler, by Paul -- At Aunty's House, by Riley -- Bill's Courtship, by Stanton -- A Bully Boat and a Brag Captain, by Smith -- A Committee from Kelly's, by Belden -- The Co-operative Housekeepers, by Flower -- The Drayman, by O'Connell -- The Dutiful Mariner, by Irwin -- Especially Men, by Chester -- Farewell, by Taylor -- The Funny Little Fellow, by Riley -- Going Up and Coming Down, by Tucker -- Have You Seen the Lady?, by Sousa -- Her ""Angel"" Father, by Flower -- The Itinerant Tinker, by Macauley -- It Pays to be Happy, by Masson -- Latter-Day Warnings, by Holmes -- Lectures on Astronomy, by Phoenix -- A Letter from a Self-Made Merchant to His Son, by Lorimer -- The Marriage of Sir John Smith, by Cary -- Melinda's Humorous Story, by McHenry -- Miss Legion, by Taylor -- The Mosquito, by Bryant -- Mr. Dooley on Expert Testimony, by Dunne -- Mr. Hare Tries to Get a Wife, by Culbertson -- Musical Review Extraordinary, by Phoenix -- My First Cigar, by Burdette -- My Ruthers, by Riley -- A Night in a Rocking-Chair, by Field -- Old Grimes, by Greene -- A Piano in Arkansas, by Thorpe -- Quit Yo' Worryin', by Culbertson -- Rollo Learning to Play, by Burdette -- The Runaway Boy, by Riley -- The Set of China, by Leslie -- Simon Starts in the World, by Hooper -- The Spring Beauties, by Cone -- The Strike of One, by Flower -- Suppressed Chapters, by Wells -- Tiddle-Iddle-Iddle-Iddle-Bum! Bum!, by Nesbit -- Whar Dem Sinful Apples Grow, by Culbertson -- Willy and the Lady, by Burgess -- The Woman Who Married an Owl, by Culbertson."
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"American wit and humor, American literature -- Humor"
Category,Text
EBook-No.,19323
Release Date,"Sep 18, 2006"
Copyright Status,Public domain in the USA.
Downloads,112 downloads in the last 30 days.
Price,$0.00
