Author,"Jerome, Jerome K. (Jerome Klapka), 1859-1927"
Title,Three Men in a Boat (To Say Nothing of the Dog)
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Young men -- Travel -- England -- Thames River -- Fiction, Boats and boating -- England -- Thames River -- Fiction, Dogs -- Fiction, Humorous stories, English, Thames River (England) -- Fiction, Male friendship -- Fiction"
Category,Text
EBook-No.,308
Release Date,"Aug 1, 1995"
Copyright Status,Public domain in the USA.
Downloads,3819 downloads in the last 30 days.
Price,$0.00
