Author,"Jerome, Jerome K. (Jerome Klapka), 1859-1927"
Title,Three Men in a Boat
Note,The last mp3 file of this ebook is missing.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Young men -- Travel -- England -- Thames River -- Fiction, Boats and boating -- England -- Thames River -- Fiction, Dogs -- Fiction, Humorous stories, English, Thames River (England) -- Fiction, Male friendship -- Fiction"
Category,Sound
EBook-No.,8204
Release Date,"Jun 1, 2005"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,35 downloads in the last 30 days.
Price,$0.00
